"id" "date" "day" "id2" "usage"
"33" 33 2014-01-01 1 82 2.701649
"122" 122 2014-01-02 2 82 2.891727
"147" 147 2014-01-03 3 82 2.871724
"11" 11 2014-01-04 4 82 2.604598
"148" 148 2014-01-05 5 82 2.727837
"85" 85 2014-01-06 6 82 2.515097
"21" 21 2014-01-07 7 82 2.536106
"109" 109 2014-01-08 8 82 2.523551
"57" 57 2014-01-09 9 82 2.471083
"66" 66 2014-01-10 10 82 2.609763
"135" 135 2014-01-11 11 82 2.490242
"149" 149 2014-01-12 12 82 2.531966
"110" 110 2014-01-13 13 82 2.471738
"136" 136 2014-01-14 14 82 2.547793
"123" 123 2014-01-15 15 82 2.503388
"67" 67 2014-01-16 16 82 2.507537
"68" 68 2014-01-17 17 82 2.530469
"173" 173 2014-01-18 18 82 2.598673
"150" 150 2014-01-19 19 82 2.535254
"124" 124 2014-01-20 20 82 2.588816
"46" 46 2014-01-21 21 82 3.005784
"86" 86 2014-01-22 22 82 2.640643
"87" 87 2014-01-23 23 82 2.550023
"88" 88 2014-01-24 24 82 2.653971
"34" 34 2014-01-25 25 82 2.702001
"12" 12 2014-01-26 26 82 2.585285
"137" 137 2014-01-27 27 82 2.559366
"161" 161 2014-01-28 28 82 2.526338
"125" 125 2014-01-29 29 82 2.479466
"47" 47 2014-01-30 30 82 2.501218
"111" 111 2014-01-31 31 82 2.537187
"97" 97 2014-02-01 32 82 2.519646
"138" 138 2014-02-02 33 82 2.19662
"1" 1 2014-02-03 34 82 2.886271
"69" 69 2014-02-04 35 82 2.58511
"98" 98 2014-02-05 36 82 2.775078
"35" 35 2014-02-06 37 82 2.564558
"112" 112 2014-02-07 38 82 2.564801
"48" 48 2014-02-08 39 82 2.615634
"139" 139 2014-02-09 40 82 2.698237
"99" 99 2014-02-10 41 82 2.530211
"22" 22 2014-02-11 42 82 2.499078
"151" 151 2014-02-12 43 82 2.633511
"23" 23 2014-02-13 44 82 3.030704
"89" 89 2014-02-14 45 82 2.647113
"100" 100 2014-02-15 46 82 2.830003
"126" 126 2014-02-16 47 82 2.702199
"90" 90 2014-02-17 48 82 2.691094
"174" 174 2014-02-18 49 82 2.635213
"113" 113 2014-02-19 50 82 2.625906
"162" 162 2014-02-20 51 82 2.547112
"2" 2 2014-02-21 52 82 2.625926
"163" 163 2014-02-22 53 82 2.525661
"70" 70 2014-02-23 54 82 2.609349
"152" 152 2014-02-24 55 82 2.562631
"36" 36 2014-02-25 56 82 2.617263
"71" 71 2014-02-26 57 82 2.60937
"140" 140 2014-02-27 58 82 2.60823
"175" 175 2014-02-28 59 82 2.579254
"164" 164 2014-03-01 60 82 2.552024
"3" 3 2014-03-02 61 82 2.691543
"13" 13 2014-03-03 62 82 2.597136
"58" 58 2014-03-04 63 82 2.562477
"24" 24 2014-03-05 64 82 2.552605
"176" 176 2014-03-06 65 82 2.511846
"25" 25 2014-03-07 66 82 2.573027
"59" 59 2014-03-08 67 82 2.522222
"177" 177 2014-03-09 68 82 2.798085
"37" 37 2014-03-10 69 82 2.634194
"14" 14 2014-03-11 70 82 2.678353
"141" 141 2014-03-12 71 82 2.715997
"26" 26 2014-03-13 72 82 2.658577
"76" 76 2014-03-14 73 82 2.61686
"77" 77 2014-03-15 74 82 2.548802
"38" 38 2014-03-16 75 82 2.648589
"27" 27 2014-03-17 76 82 2.570655
"78" 78 2014-03-18 77 82 2.601808
"39" 39 2014-03-19 78 82 2.628626
"60" 60 2014-03-20 79 82 2.549907
"178" 178 2014-03-21 80 82 2.600286
"165" 165 2014-03-22 81 82 2.49455
"79" 79 2014-03-23 82 82 2.608094
"127" 127 2014-03-24 83 82 2.517019
"61" 61 2014-03-25 84 82 2.568655
"153" 153 2014-03-26 85 82 2.491516
"101" 101 2014-03-27 86 82 2.503268
"62" 62 2014-03-28 87 82 2.508918
"128" 128 2014-03-29 88 82 2.598105
"166" 166 2014-03-30 89 82 2.59594
"91" 91 2014-03-31 90 82 2.457805
"28" 28 2014-04-01 91 82 2.513996
"4" 4 2014-04-02 92 82 2.546294
"80" 80 2014-04-03 93 82 2.528078
"92" 92 2014-04-04 94 82 2.662086
"15" 15 2014-04-05 95 82 2.561558
"49" 49 2014-04-06 96 82 2.618329
"114" 114 2014-04-07 97 82 2.599283
"5" 5 2014-04-08 98 82 2.590122
"167" 167 2014-04-09 99 82 2.569211
"102" 102 2014-04-10 100 82 2.543213
"81" 81 2014-04-11 101 82 2.491562
"168" 168 2014-04-12 102 82 2.435014
"154" 154 2014-04-13 103 82 2.56026
"142" 142 2014-04-14 104 82 2.55409
"6" 6 2014-04-15 105 82 2.671996
"72" 72 2014-04-16 106 82 2.619644
"7" 7 2014-04-17 107 82 2.592722
"179" 179 2014-04-18 108 82 2.522379
"103" 103 2014-04-19 109 82 2.438967
"73" 73 2014-04-20 110 82 2.574291
"74" 74 2014-04-21 111 82 2.617542
"155" 155 2014-04-22 112 82 2.654916
"156" 156 2014-04-23 113 82 2.649861
"180" 180 2014-04-24 114 82 2.57064
"8" 8 2014-04-25 115 82 2.571795
"63" 63 2014-04-26 116 82 2.563688
"64" 64 2014-04-27 117 82 2.623472
"16" 16 2014-04-28 118 82 2.618815
"115" 115 2014-04-29 119 82 2.666716
"40" 40 2014-04-30 120 82 2.590255
"41" 41 2014-05-01 121 82 2.515915
"50" 50 2014-05-02 122 82 2.536604
"169" 169 2014-05-03 123 82 2.532227
"93" 93 2014-05-04 124 82 2.674208
"29" 29 2014-05-05 125 82 2.57527
"9" 9 2014-05-06 126 82 2.620844
"170" 170 2014-05-07 127 82 2.631088
"104" 104 2014-05-08 128 82 2.627557
"129" 129 2014-05-09 129 82 2.598337
"51" 51 2014-05-10 130 82 2.507752
"82" 82 2014-05-11 131 82 2.499438
"171" 171 2014-05-12 132 82 2.601397
"17" 17 2014-05-13 133 82 2.655977
"130" 130 2014-05-14 134 82 2.591703
"181" 181 2014-05-15 135 82 2.64565
"143" 143 2014-05-16 136 82 2.726379
"116" 116 2014-05-17 137 82 2.496208
"157" 157 2014-05-18 138 82 2.634789
